"Package","Class","Test","398","394","393","392","390","389","387","386","385","384"
"(root)","pytest","(?)","N/A","N/A","N/A","N/A","N/A","N/A","PASSED","N/A","N/A","N/A"
"(root)","pytest","internal","N/A","N/A","N/A","N/A","N/A","N/A","FAILED","N/A","N/A","N/A"
"tests.tests_frontend.tests_automatic.tests_regression.test_homepage.test_homepage","TestHomePage","test_add_dashboard[chrome]","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED"
"tests.tests_frontend.tests_automatic.tests_regression.test_homepage.test_homepage","TestHomePage","test_add_widget[chrome]","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED"
"tests.tests_frontend.tests_automatic.tests_regression.test_homepage.test_homepage","TestHomePage","test_data_visibility_on_chart[chrome]","FAILED","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED","FAILED"
"tests.tests_frontend.tests_automatic.tests_regression.test_homepage.test_homepage","TestHomePage","test_edit_dashboard[chrome]","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED"
"tests.tests_frontend.tests_automatic.tests_regression.test_homepage.test_homepage","TestHomePage","test_edit_widget[chrome]","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED"
"tests.tests_frontend.tests_automatic.tests_regression.test_homepage.test_homepage","TestHomePage","test_remove_one_dashboard[chrome]","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED"
"tests.tests_frontend.tests_automatic.tests_regression.test_homepage.test_homepage","TestHomePage","test_remove_widget[chrome]","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED","FAILED","FAILED"
"tests.tests_frontend.tests_automatic.tests_regression.test_homepage.test_homepage","TestHomePage","test_set_chart_value[chrome]","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED"
"tests.tests_frontend.tests_automatic.tests_regression.tests_diagnostic.test_diagnostic_alarms_acknowledged","TestDiagnosticAlarmsAcknowledged","test_filter_alarms_acknowledged[chrome]","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED"
"tests.tests_frontend.tests_automatic.tests_regression.tests_diagnostic.test_diagnostic_alarms_acknowledged","TestDiagnosticAlarmsAcknowledged","test_sort_alarms_acknowledged[chrome]","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED"
"tests.tests_frontend.tests_automatic.tests_regression.tests_diagnostic.test_diagnostic_alarms_inbox","TestDiagnosticAlarmsInbox","test_filter_alarms[chrome]","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED"
"tests.tests_frontend.tests_automatic.tests_regression.tests_diagnostic.test_diagnostic_alarms_inbox","TestDiagnosticAlarmsInbox","test_sort_alarms[chrome]","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED"
"tests.tests_frontend.tests_automatic.tests_regression.tests_diagnostic.test_diagnostic_configuration","TestDiagnosticConfigurationBasic","test_add_event[chrome]","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED"
"tests.tests_frontend.tests_automatic.tests_regression.tests_diagnostic.test_diagnostic_configuration","TestDiagnosticConfigurationBasic","test_edit_event[chrome]","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED"
"tests.tests_frontend.tests_automatic.tests_regression.tests_diagnostic.test_diagnostic_configuration","TestDiagnosticConfigurationBasic","test_filter_events[chrome]","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED"
"tests.tests_frontend.tests_automatic.tests_regression.tests_diagnostic.test_diagnostic_configuration","TestDiagnosticConfigurationBasic","test_remove_all_events[chrome]","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED"
"tests.tests_frontend.tests_automatic.tests_regression.tests_diagnostic.test_diagnostic_configuration","TestDiagnosticConfigurationBasic","test_remove_event[chrome]","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED"
"tests.tests_frontend.tests_automatic.tests_regression.tests_diagnostic.test_diagnostic_configuration","TestDiagnosticConfigurationBasic","test_sort_events[chrome]","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED","PASSED"
"tests.tests_frontend.tests_automatic.tests_regression.tests_diagnostic.test_diagnostic_configuration","TestDiagnosticConfigurationFunctionality","test_communication_event[chrome]","PASSED","PASSED","PASSED","PASSED","PASSED","FAILED","FAILED","FAILED","PASSED","PASSED"
"tests.tests_frontend.tests_automatic.tests_regression.tests_diagnostic.test_diagnostic_configuration","TestDiagnosticConfigurationFunctionality","test_cross_event[chrome]","PASSED","PASSED","PASSED","PASSED","PASSED","FAILED","FAILED","FAILED","PASSED","PASSED"
